Country_territory,Iso3_code,Region,Indicator,Destination,Value_str
Argentina,ARG,Americas,Detected trafficking victims,Total,63
Argentina,ARG,Americas,Detected trafficking victims,Total,79
Argentina,ARG,Americas,Detected trafficking victims,Total,186
Argentina,ARG,Americas,Detected trafficking victims,Total,422
Argentina,ARG,Americas,Detected trafficking victims,Total,263
Argentina,ARG,Americas,Detected trafficking victims,Total,150
Argentina,ARG,Americas,Detected trafficking victims,Total,303
Argentina,ARG,Americas,Detected trafficking victims,Total,374
Argentina,ARG,Americas,Detected trafficking victims,Total,375
Argentina,ARG,Americas,Detected trafficking victims,Total,243
Argentina,ARG,Americas,Detected trafficking victims,Total,414
Argentina,ARG,Americas,Detected trafficking victims,Total,97
Armenia,ARM,Asia,"Trafficking in persons, detected victims by citizenship",Armenia,1
Armenia,ARM,Asia,"Trafficking in persons, detected victims by citizenship",Armenia,1
Armenia,ARM,Asia,"Trafficking in persons, detected victims by citizenship",Armenia,1
Armenia,ARM,Asia,"Trafficking in persons, detected victims by citizenship",China,1
Armenia,ARM,Asia,"Trafficking in persons, detected victims by citizenship",Armenia,21
Armenia,ARM,Asia,"Trafficking in persons, detected victims by citizenship",Armenia,49
Armenia,ARM,Asia,"Trafficking in persons, detected victims by citizenship",Armenia,19
Armenia,ARM,Asia,"Trafficking in persons, detected victims by citizenship",Armenia,13
Armenia,ARM,Asia,"Trafficking in persons, detected victims by citizenship",Armenia,9
Armenia,ARM,Asia,"Trafficking in persons, detected victims by citizenship",Armenia,6
Armenia,ARM,Asia,"Trafficking in persons, detected victims by citizenship",Armenia,7
Armenia,ARM,Asia,"Trafficking in persons, detected victims by citizenship",Russian Federation,13
Armenia,ARM,Asia,"Trafficking in persons, detected victims by citizenship",Russian Federation,11
Armenia,ARM,Asia,Detected trafficking victims,Total,47
Armenia,ARM,Asia,Detected trafficking victims,Total,36
Armenia,ARM,Asia,Detected trafficking victims,Total,34
Armenia,ARM,Asia,Detected trafficking victims,Total,60
Armenia,ARM,Asia,Detected trafficking victims,Total,19
Armenia,ARM,Asia,Detected trafficking victims,Total,13
Armenia,ARM,Asia,Detected trafficking victims,Total,14
Armenia,ARM,Asia,Detected trafficking victims,Total,21
Armenia,ARM,Asia,Detected trafficking victims,Total,8
Armenia,ARM,Asia,Detected trafficking victims,Total,5
Armenia,ARM,Asia,Detected trafficking victims,Total,25
Armenia,ARM,Asia,Detected trafficking victims,Total,9
Australia,AUS,Oceania,"Trafficking in persons, detected victims by citizenship",Australia,1
Australia,AUS,Oceania,"Trafficking in persons, detected victims by citizenship","China, Macao SAR",1
Australia,AUS,Oceania,"Trafficking in persons, detected victims by citizenship",Czechia,1
Australia,AUS,Oceania,"Trafficking in persons, detected victims by citizenship",India,1
Australia,AUS,Oceania,"Trafficking in persons, detected victims by citizenship",Indonesia,1
Australia,AUS,Oceania,"Trafficking in persons, detected victims by citizenship",Indonesia,1
Australia,AUS,Oceania,"Trafficking in persons, detected victims by citizenship",Philippines,1
Australia,AUS,Oceania,"Trafficking in persons, detected victims by citizenship",Republic of Korea,1
Australia,AUS,Oceania,"Trafficking in persons, detected victims by citizenship",Republic of Korea,1
Australia,AUS,Oceania,"Trafficking in persons, detected victims by citizenship",Singapore,1
Australia,AUS,Oceania,"Trafficking in persons, detected victims by citizenship",Afghanistan,7
Australia,AUS,Oceania,"Trafficking in persons, detected victims by citizenship",Australia,9
Australia,AUS,Oceania,"Trafficking in persons, detected victims by citizenship",Australia,10
Australia,AUS,Oceania,"Trafficking in persons, detected victims by citizenship",Australia,5
Australia,AUS,Oceania,"Trafficking in persons, detected victims by citizenship",India,5
Australia,AUS,Oceania,"Trafficking in persons, detected victims by citizenship",Malaysia,20
Australia,AUS,Oceania,"Trafficking in persons, detected victims by citizenship",Malaysia,10
Australia,AUS,Oceania,"Trafficking in persons, detected victims by citizenship",Others,22
Australia,AUS,Oceania,"Trafficking in persons, detected victims by citizenship",Others,19
Australia,AUS,Oceania,"Trafficking in persons, detected victims by citizenship",Philippines,5
Australia,AUS,Oceania,"Trafficking in persons, detected victims by citizenship",Republic of Korea,6
Australia,AUS,Oceania,"Trafficking in persons, detected victims by citizenship",Republic of Korea,13
Australia,AUS,Oceania,"Trafficking in persons, detected victims by citizenship",Republic of Korea,6
Australia,AUS,Oceania,"Trafficking in persons, detected victims by citizenship",Thailand,16
Australia,AUS,Oceania,"Trafficking in persons, detected victims by citizenship",Thailand,12
Australia,AUS,Oceania,"Trafficking in persons, detected victims by citizenship",Thailand,8
Australia,AUS,Oceania,"Trafficking in persons, detected victims by citizenship",Thailand,8
Australia,AUS,Oceania,"Trafficking in persons, detected victims by citizenship",Thailand,7
Australia,AUS,Oceania,Detected trafficking victims,Total,10
Australia,AUS,Oceania,Detected trafficking victims,Total,9
Australia,AUS,Oceania,Detected trafficking victims,Total,20
Australia,AUS,Oceania,Detected trafficking victims,Total,16
Australia,AUS,Oceania,Detected trafficking victims,Total,18
Australia,AUS,Oceania,Detected trafficking victims,Total,25
Australia,AUS,Oceania,Detected trafficking victims,Total,33
Australia,AUS,Oceania,Detected trafficking victims,Total,31
Australia,AUS,Oceania,Detected trafficking victims,Total,11
Australia,AUS,Oceania,Detected trafficking victims,Total,16
Australia,AUS,Oceania,Detected trafficking victims,Total,21
Australia,AUS,Oceania,Detected trafficking victims,Total,33
Australia,AUS,Oceania,Detected trafficking victims,Total,35
Australia,AUS,Oceania,Detected trafficking victims,Total,36
Australia,AUS,Oceania,Detected trafficking victims,Total,21
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Afghanistan,1
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Albania,1
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Austria,1
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Austria,1
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Austria,1
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Austria,1
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Bosnia and Herzegovina,1
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Bosnia and Herzegovina,1
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Brazil,1
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",China,1
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",China,1
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",China,1
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Colombia,1
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Croatia,1
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Croatia,1
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Croatia,1
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Croatia,1
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Czechia,1
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Czechia,1
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Czechia,1
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Democratic People's Republic of Korea,1
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Ethiopia,1
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Georgia,1
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Germany,1
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Germany,1
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Germany,1
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Hungary,1
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",India,1
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",India,1
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Indonesia,1
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Indonesia,1
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Indonesia,1
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Italy,1
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Italy,1
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Kenya,1
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Nepal,1
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Nicaragua,1
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Nigeria,1
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Nigeria,1
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Nigeria,1
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Paraguay,1
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Peru,1
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Philippines,1
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Philippines,1
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Philippines,1
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Philippines,1
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Philippines,1
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Poland,1
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Poland,1
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Poland,1
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Russian Federation,1
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Russian Federation,1
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Russian Federation,1
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Serbia,1
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Serbia,1
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Serbia,1
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Serbia,1
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Serbia,1
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Serbia,1
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Serbia,1
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Slovakia,1
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Slovakia,1
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Sri Lanka,1
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Switzerland,1
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Syrian Arab Republic,1
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Syrian Arab Republic,1
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",The former Yugoslav Republic of Macedonia,1
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Tunisia,1
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Turkey,1
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Turkey,1
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Turkey,1
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Turkey,1
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Viet Nam,1
Austria,AUT,Europe,Detected trafficking victims,Total,1
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Albania,53
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Austria,6
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Austria,6
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Austria,44
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Austria,70
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Austria,52
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Austria,23
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Bulgaria,23
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Bulgaria,26
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Bulgaria,29
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Bulgaria,30
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Bulgaria,8
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Bulgaria,10
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Bulgaria,5
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Bulgaria,22
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Bulgaria,6
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Bulgaria,8
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Bulgaria,9
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",China,5
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",China,14
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Czechia,7
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Czechia,7
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Czechia,6
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Czechia,5
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Hungary,10
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Hungary,14
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Hungary,19
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Hungary,20
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Hungary,9
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Hungary,5
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Hungary,17
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Hungary,27
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Hungary,9
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Hungary,5
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Lithuania,5
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Nigeria,6
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Nigeria,17
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Nigeria,28
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Nigeria,54
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Nigeria,15
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Nigeria,14
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Others,24
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Others,44
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Philippines,12
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Philippines,11
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Philippines,23
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Republic of Moldova,6
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Republic of Moldova,8
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Romania,33
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Romania,26
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Romania,23
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Romania,27
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Romania,12
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Romania,7
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Romania,24
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Romania,38
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Romania,20
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Romania,9
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Russian Federation,5
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Russian Federation,6
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Russian Federation,6
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Russian Federation,7
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Serbia,5
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Serbia,6
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Slovakia,8
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Slovakia,8
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Slovakia,8
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Slovakia,7
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Slovakia,6
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Slovakia,5
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Ukraine,10
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Ukraine,12
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Ukraine,7
Austria,AUT,Europe,"Trafficking in persons, detected victims by citizenship",Ukraine,5
Austria,AUT,Europe,Detected trafficking victims,Total,12
Austria,AUT,Europe,Detected trafficking victims,Total,22
Austria,AUT,Europe,Detected trafficking victims,Total,14
Austria,AUT,Europe,Detected trafficking victims,Total,28
Austria,AUT,Europe,Detected trafficking victims,Total,23
Austria,AUT,Europe,Detected trafficking victims,Total,79
Austria,AUT,Europe,Detected trafficking victims,Total,126
Austria,AUT,Europe,Detected trafficking victims,Total,72
Azerbaijan,AZE,Asia,"Trafficking in persons, detected victims by citizenship",Azerbaijan,1
Azerbaijan,AZE,Asia,"Trafficking in persons, detected victims by citizenship",Azerbaijan,1
Azerbaijan,AZE,Asia,"Trafficking in persons, detected victims by citizenship",Azerbaijan,1
Azerbaijan,AZE,Asia,"Trafficking in persons, detected victims by citizenship",China,1
Azerbaijan,AZE,Asia,"Trafficking in persons, detected victims by citizenship",Georgia,1
Azerbaijan,AZE,Asia,"Trafficking in persons, detected victims by citizenship",Kazakhstan,1
Azerbaijan,AZE,Asia,"Trafficking in persons, detected victims by citizenship",Philippines,1
Azerbaijan,AZE,Asia,"Trafficking in persons, detected victims by citizenship",Russian Federation,1
Azerbaijan,AZE,Asia,"Trafficking in persons, detected victims by citizenship",Russian Federation,1
Azerbaijan,AZE,Asia,"Trafficking in persons, detected victims by citizenship",Russian Federation,1
Azerbaijan,AZE,Asia,"Trafficking in persons, detected victims by citizenship",Ukraine,1
Azerbaijan,AZE,Asia,"Trafficking in persons, detected victims by citizenship",Uzbekistan,1
Azerbaijan,AZE,Asia,"Trafficking in persons, detected victims by citizenship",Uzbekistan,1
Azerbaijan,AZE,Asia,"Trafficking in persons, detected victims by citizenship",Uzbekistan,1
Azerbaijan,AZE,Asia,"Trafficking in persons, detected victims by citizenship",Uzbekistan,5
Azerbaijan,AZE,Asia,Detected trafficking victims,Total,86
Azerbaijan,AZE,Asia,Detected trafficking victims,Total,101
Azerbaijan,AZE,Asia,Detected trafficking victims,Total,78
Azerbaijan,AZE,Asia,Detected trafficking victims,Total,91
Azerbaijan,AZE,Asia,Detected trafficking victims,Total,34
Azerbaijan,AZE,Asia,Detected trafficking victims,Total,29
Azerbaijan,AZE,Asia,Detected trafficking victims,Total,53
Azerbaijan,AZE,Asia,Detected trafficking victims,Total,56
Azerbaijan,AZE,Asia,Detected trafficking victims,Total,54
Azerbaijan,AZE,Asia,Detected trafficking victims,Total,48
Azerbaijan,AZE,Asia,Detected trafficking victims,Total,70
Bahamas,BHS,Americas,"Trafficking in persons, detected victims by citizenship",Jamaica,1
Bahamas,BHS,Americas,Detected trafficking victims,Total,1
Bahrain,BHR,Asia,"Trafficking in persons, detected victims by citizenship",Bangladesh,1
Bahrain,BHR,Asia,"Trafficking in persons, detected victims by citizenship",Bangladesh,1
Bahrain,BHR,Asia,"Trafficking in persons, detected victims by citizenship",Bangladesh,1
Bahrain,BHR,Asia,"Trafficking in persons, detected victims by citizenship",Colombia,1
Bahrain,BHR,Asia,"Trafficking in persons, detected victims by citizenship",Colombia,1
Bahrain,BHR,Asia,"Trafficking in persons, detected victims by citizenship",Egypt,1
Bahrain,BHR,Asia,"Trafficking in persons, detected victims by citizenship",Egypt,1
Bahrain,BHR,Asia,"Trafficking in persons, detected victims by citizenship",Egypt,1
Bahrain,BHR,Asia,"Trafficking in persons, detected victims by citizenship",Ethiopia,1
Bahrain,BHR,Asia,"Trafficking in persons, detected victims by citizenship",Ghana,1
Bahrain,BHR,Asia,"Trafficking in persons, detected victims by citizenship",India,1
Bahrain,BHR,Asia,"Trafficking in persons, detected victims by citizenship",India,1
Bahrain,BHR,Asia,"Trafficking in persons, detected victims by citizenship",Indonesia,1
Bahrain,BHR,Asia,"Trafficking in persons, detected victims by citizenship",Iraq,1
Bahrain,BHR,Asia,"Trafficking in persons, detected victims by citizenship",Kazakhstan,1
Bahrain,BHR,Asia,"Trafficking in persons, detected victims by citizenship",Kenya,1
Bahrain,BHR,Asia,"Trafficking in persons, detected victims by citizenship",Morocco,1
Bahrain,BHR,Asia,"Trafficking in persons, detected victims by citizenship",Morocco,1
Bahrain,BHR,Asia,"Trafficking in persons, detected victims by citizenship",Nepal,1
Bahrain,BHR,Asia,"Trafficking in persons, detected victims by citizenship",Panama,1
Bahrain,BHR,Asia,"Trafficking in persons, detected victims by citizenship",Philippines,1
Bahrain,BHR,Asia,"Trafficking in persons, detected victims by citizenship",Philippines,1
Bahrain,BHR,Asia,"Trafficking in persons, detected victims by citizenship",Philippines,1
Bahrain,BHR,Asia,"Trafficking in persons, detected victims by citizenship",Philippines,1
Bahrain,BHR,Asia,"Trafficking in persons, detected victims by citizenship",Philippines,1
